,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Density Value,Density Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty
38,298.15 kelvin,101.0 kilopascal,2,2,O,0.2554,C(CO)CO,0.7446,,,,,,,,,-1.55784671449657e-07 meter ** 3 / mole,1.4814444489501724e-08 meter ** 3 / mole
39,298.15 kelvin,101.325 kilopascal,2,1,C(CO)CO,1.0,,,1.0612678801880335 gram / milliliter,0.0002862741035599647 gram / milliliter,67372.34240736655 kilogram * meter ** 2 / mole / second ** 2,249.3743435811897 kilogram * meter ** 2 / mole / second ** 2,,,,,,
40,303.15 kelvin,101.325 kilopascal,2,1,C(CO)N(CCO)CCO,1.0,,,1.1667149145996778 gram / milliliter,0.00025344884696001815 gram / milliliter,,,,,3.189641651212342 dimensionless,0.3583604545282885 dimensionless,,
41,303.15 kelvin,101.325 kilopascal,2,1,C(CO)NCCO,1.0,,,1.1314201853103552 gram / milliliter,0.00023078308662622237 gram / milliliter,,,,,2.687610076713205 dimensionless,0.245854119073097 dimensionless,,
42,303.15 kelvin,101.0 kilopascal,2,1,C(CO)N,1.0,,,1.0697834590544832 gram / milliliter,0.00016630741417157025 gram / milliliter,,,,,17.65540638568926 dimensionless,1.1063712371540138 dimensionless,,
43,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.20509999999999995,O,0.7949,,,,,-10.35800266951992 kilogram * meter ** 2 / mole / second ** 2,16.651502683080974 kilogram * meter ** 2 / mole / second ** 2,,,,
44,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.25008,O,0.7499199999999999,,,,,,,,,-2.3736767058392787e-07 meter ** 3 / mole,1.178832803973143e-08 meter ** 3 / mole
45,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.77876,O,0.22124,,,,,,,,,-6.452578218577265e-08 meter ** 3 / mole,1.3502649239354038e-08 meter ** 3 / mole
46,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.7908999999999999,O,0.2091,,,,,89.08620656040875 kilogram * meter ** 2 / mole / second ** 2,15.732822603115562 kilogram * meter ** 2 / mole / second ** 2,,,,
47,298.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,1.1232074326181063 gram / milliliter,0.00035343728905712113 gram / milliliter,59402.78274576214 kilogram * meter ** 2 / mole / second ** 2,221.14305326193536 kilogram * meter ** 2 / mole / second ** 2,,,,,,
