,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,Density Value,Density Uncertainty
10,298.15 kelvin,101.0 kilopascal,2,1,C1CC(=O)OC1,1.0,,,35.19521824630509 dimensionless,1.287431042423774 dimensionless,,,,,,,1.1353272987278695 gram / milliliter,7.22457919823533e-05 gram / milliliter
11,298.15 kelvin,101.0 kilopascal,2,1,C1CCS(=O)(=O)C1,1.0,,,9.283827407584761 dimensionless,1.3125033174103955 dimensionless,,,,,,,1.294143043187618 gram / milliliter,0.00013073184234118254 gram / milliliter
12,298.15 kelvin,101.0 kilopascal,2,2,C1COCCN1,0.7149,O,0.2851,,,,,,,-1207.6373443287157 kilogram * meter ** 2 / mole / second ** 2,16.821530118766894 kilogram * meter ** 2 / mole / second ** 2,,
13,298.15 kelvin,101.325 kilopascal,2,1,CC(=C)C(=O)OCCO,1.0,,,,,,,,,,,1.0846309705905322 gram / milliliter,0.00031198546025750537 gram / milliliter
14,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCCO,1.0,,,1.7480112290026244 dimensionless,0.16597446898156354 dimensionless,,,,,,,0.8289959043151738 gram / milliliter,0.0002460199528314535 gram / milliliter
15,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)/C=C(/C)\O,1.0,,,,,,,58522.97227777058 kilogram * meter ** 2 / mole / second ** 2,214.27851845539098 kilogram * meter ** 2 / mole / second ** 2,,,,
16,298.15 kelvin,101.0 kilopascal,2,2,Cc1ccccc1N,0.7674,Cc1ccncc1,0.2326000000000001,,,-1.806926878296231e-07 meter ** 3 / mole,1.6314747572105623e-08 meter ** 3 / mole,,,,,,
17,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.7903,C(=C(Cl)Cl)Cl,0.2097,,,1.2468391956730164e-08 meter ** 3 / mole,1.8089505716950183e-08 meter ** 3 / mole,,,,,,
18,303.15 kelvin,101.325 kilopascal,2,2,C(CBr)Br,0.2077,C(=C(Cl)Cl)Cl,0.7923,,,4.674073576565931e-08 meter ** 3 / mole,1.84080221326062e-08 meter ** 3 / mole,,,,,,
19,298.15 kelvin,101.325 kilopascal,2,1,C(=C(Cl)Cl)Cl,1.0,,,,,,,,,,,1.3533542217271226 gram / milliliter,0.00039340158873338153 gram / milliliter
20,303.28 kelvin,100.4 kilopascal,2,1,C(=C(F)F)(C(F)(F)F)F,1.0,,,,,,,,,,,1.1852292550996273 gram / milliliter,0.00042752265240317397 gram / milliliter
21,293.15 kelvin,101.325 kilopascal,2,1,C(=O)(C(F)(F)F)O,1.0,,,,,,,,,,,1.5717196985412756 gram / milliliter,0.00038759750133736143 gram / milliliter
22,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.205,O,0.795,,,-4.707542606374553e-07 meter ** 3 / mole,1.5017478529850467e-08 meter ** 3 / mole,,,,,,
23,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)(C(F)(F)F)O,1.0,,,,,,,,,,,1.560589142397428 gram / milliliter,0.0003464729101230345 gram / milliliter
24,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.20133,CCCO,0.79867,,,,,,,-355.8004445825354 kilogram * meter ** 2 / mole / second ** 2,17.535701960737164 kilogram * meter ** 2 / mole / second ** 2,,
25,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.7170000000000001,C(C(F)(F)F)O,0.28300000000000003,,,,,,,-1603.68190972734 kilogram * meter ** 2 / mole / second ** 2,15.50726286718302 kilogram * meter ** 2 / mole / second ** 2,,
26,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29705,CO,0.70295,,,,,,,-498.32025846541364 kilogram * meter ** 2 / mole / second ** 2,17.251822200409183 kilogram * meter ** 2 / mole / second ** 2,,
27,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29878000000000005,O,0.70122,,,,,,,404.80391580306787 kilogram * meter ** 2 / mole / second ** 2,18.195929561938755 kilogram * meter ** 2 / mole / second ** 2,,
28,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.29919,CCO,0.7008099999999999,,,,,,,-523.9035272366309 kilogram * meter ** 2 / mole / second ** 2,17.53428936782881 kilogram * meter ** 2 / mole / second ** 2,,
29,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.7077899999999999,O,0.29220999999999997,,,,,,,677.3301723195909 kilogram * meter ** 2 / mole / second ** 2,16.540803981714486 kilogram * meter ** 2 / mole / second ** 2,,
30,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.70985,CO,0.29015,,,,,,,-460.3526101127936 kilogram * meter ** 2 / mole / second ** 2,17.03101366485899 kilogram * meter ** 2 / mole / second ** 2,,
31,298.15 kelvin,101.3 kilopascal,2,2,C1CCOC1,0.212,C(C(F)(F)F)O,0.7879999999999999,,,,,,,-1370.2895069767546 kilogram * meter ** 2 / mole / second ** 2,17.23619531531199 kilogram * meter ** 2 / mole / second ** 2,,
32,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79638,CCO,0.20362,,,,,,,-314.94476015563123 kilogram * meter ** 2 / mole / second ** 2,16.700443771991438 kilogram * meter ** 2 / mole / second ** 2,,
33,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)O,0.79867,CCCO,0.20133,,,,,,,-142.12512924942712 kilogram * meter ** 2 / mole / second ** 2,16.20254987554134 kilogram * meter ** 2 / mole / second ** 2,,
34,298.15 kelvin,101.325 kilopascal,2,1,C(C(F)(F)F)O,1.0,,,,,,,,,,,1.3488182368333752 gram / milliliter,0.0003836318223641503 gram / milliliter
35,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2146,CCCCOC(=O)C,0.7854,,,,,,,-814.7074758925482 kilogram * meter ** 2 / mole / second ** 2,16.836116573890635 kilogram * meter ** 2 / mole / second ** 2,,
36,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7738,C(CBr)Br,0.2262,,,-5.011216375686164e-07 meter ** 3 / mole,1.7814393916914068e-08 meter ** 3 / mole,,,,,,
37,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.2547,CCCCOC(=O)C,0.7453000000000001,,,-5.935384477618135e-07 meter ** 3 / mole,1.903755432608662e-08 meter ** 3 / mole,,,,,,
38,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.7275,C(CBr)Br,0.2725,,,,,,,-666.4453542610281 kilogram * meter ** 2 / mole / second ** 2,17.087900875224527 kilogram * meter ** 2 / mole / second ** 2,,
39,298.15 kelvin,101.0 kilopascal,2,2,CCCCOC=O,0.3993,C(CBr)Br,0.6007,,,-6.821077944663779e-07 meter ** 3 / mole,1.725775270564889e-08 meter ** 3 / mole,,,-481.48072559303546 kilogram * meter ** 2 / mole / second ** 2,17.575298709859542 kilogram * meter ** 2 / mole / second ** 2,,
40,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7476,CCCCOC(=O)C,0.2524,,,-6.341194708384492e-07 meter ** 3 / mole,1.8019092078474575e-08 meter ** 3 / mole,,,,,,
41,298.15 kelvin,101.0 kilopascal,2,2,C(CBr)Br,0.7661,CCCCOC(=O)C,0.2339,,,,,,,-814.1767931075992 kilogram * meter ** 2 / mole / second ** 2,18.722866590217716 kilogram * meter ** 2 / mole / second ** 2,,
42,295.15 kelvin,101.325 kilopascal,2,1,C(CBr)Br,1.0,,,,,,,,,,,1.8377623165013284 gram / milliliter,0.0004128789738640619 gram / milliliter
43,298.15 kelvin,101.0 kilopascal,2,2,O,0.7847,C(CCO)CO,0.2153,,,-3.372194750573945e-07 meter ** 3 / mole,1.2314156826075672e-08 meter ** 3 / mole,,,,,,
44,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.2658,O,0.7342,,,,,,,61.513524053145375 kilogram * meter ** 2 / mole / second ** 2,17.447986924470833 kilogram * meter ** 2 / mole / second ** 2,,
45,298.15 kelvin,101.0 kilopascal,2,2,O,0.2297,C(CCO)CO,0.7703,,,-2.313304372661369e-07 meter ** 3 / mole,1.590911622238673e-08 meter ** 3 / mole,,,,,,
46,298.15 kelvin,101.325 kilopascal,2,1,C(CCO)CO,1.0,,,,,,,81099.16666096152 kilogram * meter ** 2 / mole / second ** 2,269.9723927545783 kilogram * meter ** 2 / mole / second ** 2,,,1.0270094453705436 gram / milliliter,0.000374471893615552 gram / milliliter
47,298.15 kelvin,101.325 kilopascal,2,1,C(CCl)CBr,1.0,,,,,,,,,,,1.4446041386401258 gram / milliliter,0.000351560689667053 gram / milliliter
48,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.2087,O,0.7913,,,,,,,27.50821485628694 kilogram * meter ** 2 / mole / second ** 2,18.73509662274298 kilogram * meter ** 2 / mole / second ** 2,,
49,298.15 kelvin,101.0 kilopascal,2,2,O,0.7551,C(CO)CO,0.2449,,,-2.620121844963066e-07 meter ** 3 / mole,1.4140286100542192e-08 meter ** 3 / mole,,,,,,
50,298.15 kelvin,101.0 kilopascal,2,2,O,0.2554,C(CO)CO,0.7446,,,-1.9069215051188937e-07 meter ** 3 / mole,1.5127970678681372e-08 meter ** 3 / mole,,,,,,
51,298.15 kelvin,101.325 kilopascal,2,1,C(CO)CO,1.0,,,,,,,74196.5142078578 kilogram * meter ** 2 / mole / second ** 2,232.94178177385848 kilogram * meter ** 2 / mole / second ** 2,,,1.0651639251274438 gram / milliliter,0.0003379913634592172 gram / milliliter
52,303.15 kelvin,101.325 kilopascal,2,1,C(CO)N(CCO)CCO,1.0,,,4.735520887901599 dimensionless,1.1757644672749448 dimensionless,,,,,,,1.161272140181015 gram / milliliter,0.00024595193709346744 gram / milliliter
53,303.15 kelvin,101.325 kilopascal,2,1,C(CO)NCCO,1.0,,,3.321151513781292 dimensionless,0.7301448516651093 dimensionless,,,,,,,1.1336490683376215 gram / milliliter,0.00038745314444559807 gram / milliliter
54,303.15 kelvin,101.0 kilopascal,2,1,C(CO)N,1.0,,,13.691242723199915 dimensionless,1.3381140727083998 dimensionless,,,,,,,1.069684031254095 gram / milliliter,0.0002909952079562082 gram / milliliter
55,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.20509999999999995,O,0.7949,,,,,,,-20.016016293760913 kilogram * meter ** 2 / mole / second ** 2,15.543260235094486 kilogram * meter ** 2 / mole / second ** 2,,
56,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.25008,O,0.7499199999999999,,,-2.4158304226762985e-07 meter ** 3 / mole,1.2727869401284934e-08 meter ** 3 / mole,,,,,,
57,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.77876,O,0.22124,,,-6.970319436694811e-08 meter ** 3 / mole,1.3015978061866603e-08 meter ** 3 / mole,,,,,,
58,298.15 kelvin,101.0 kilopascal,2,2,C(CO)O,0.7908999999999999,O,0.2091,,,,,,,-0.9765071691217599 kilogram * meter ** 2 / mole / second ** 2,16.603847997809623 kilogram * meter ** 2 / mole / second ** 2,,
59,298.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,,,,,61264.39349271776 kilogram * meter ** 2 / mole / second ** 2,218.85206107231502 kilogram * meter ** 2 / mole / second ** 2,,,1.1268202520964798 gram / milliliter,0.0003447826853150376 gram / milliliter
60,303.15 kelvin,101.325 kilopascal,2,1,C(CO)O,1.0,,,22.595106350541244 dimensionless,1.4461835454817118 dimensionless,,,,,,,1.1215666956104917 gram / milliliter,0.00016583325777423509 gram / milliliter
61,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.20020000000000004,O,0.7998,,,,,,,-88.55846967494654 kilogram * meter ** 2 / mole / second ** 2,14.377285667871593 kilogram * meter ** 2 / mole / second ** 2,,
62,298.15 kelvin,101.0 kilopascal,2,1,C(COCCO)O,1.0,,,12.78403442878495 dimensionless,1.1067244317281004 dimensionless,,,,,,,1.1500101201076192 gram / milliliter,0.00013258543959129477 gram / milliliter
63,298.15 kelvin,101.0 kilopascal,2,1,C(COCCOCCO)O,1.0,,,4.996050785509269 dimensionless,1.3112665527475134 dimensionless,,,,,,,1.1575625817517263 gram / milliliter,0.0002328451340684318 gram / milliliter
64,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Br,1.0,,,,,,,,,,,1.8594857814272647 gram / milliliter,0.0004133181246678099 gram / milliliter
65,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.7326,C(Cl)(Cl)(Cl)Cl,0.2674,,,,,,,757.785698662452 kilogram * meter ** 2 / mole / second ** 2,17.055618586170347 kilogram * meter ** 2 / mole / second ** 2,,
66,298.15 kelvin,101.0 kilopascal,2,2,CCC#N,0.2551,C(Cl)(Cl)(Cl)Cl,0.7449,,,,,,,968.3704763120882 kilogram * meter ** 2 / mole / second ** 2,16.099945313193896 kilogram * meter ** 2 / mole / second ** 2,,
67,298.15 kelvin,101.325 kilopascal,2,1,C(Cl)(Cl)(Cl)Cl,1.0,,,,,,,,,,,1.5808435378056311 gram / milliliter,0.00036009537911653455 gram / milliliter
68,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)C1,1.0,,,8.640802094777868 dimensionless,0.7573026903755422 dimensionless,,,,,,,0.9289838325694383 gram / milliliter,0.0002941204997746161 gram / milliliter
69,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7569,C1CCC(=O)CC1,0.2431,,,,,,,471.447778316171 kilogram * meter ** 2 / mole / second ** 2,16.2171358760791 kilogram * meter ** 2 / mole / second ** 2,,
70,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7218,C1CCC(=O)CC1,0.2782,,,2.2964037460904e-07 meter ** 3 / mole,1.684578826027191e-08 meter ** 3 / mole,,,,,,
71,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2762,C1CCC(=O)CC1,0.7238,,,,,,,523.8692983614819 kilogram * meter ** 2 / mole / second ** 2,17.11427820472971 kilogram * meter ** 2 / mole / second ** 2,,
72,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.2241,C1CCC(=O)CC1,0.7759,,,1.91609764332016e-07 meter ** 3 / mole,1.5453368902670215e-08 meter ** 3 / mole,,,,,,
73,298.15 kelvin,101.325 kilopascal,2,1,C1CCC(=O)CC1,1.0,,,8.693378282461804 dimensionless,0.8565161560672441 dimensionless,,,,,,,0.9313653152076794 gram / milliliter,0.0003166676660143819 gram / milliliter
74,298.15 kelvin,101.325 kilopascal,2,1,C1CCOC1,1.0,,,,,,,,,,,0.9028792903557478 gram / milliliter,0.00026479093198816486 gram / milliliter
75,313.15 kelvin,101.0 kilopascal,2,2,C1COCCN1,0.2968,O,0.7032,,,,,,,-1944.0438050595367 kilogram * meter ** 2 / mole / second ** 2,15.3626441534326 kilogram * meter ** 2 / mole / second ** 2,,
76,298.15 kelvin,101.325 kilopascal,2,1,C1COCCN1,1.0,,,,,,,,,,,1.0837242440791928 gram / milliliter,0.0003182534502041155 gram / milliliter
77,293.0 kelvin,101.325 kilopascal,2,1,C=CCCl,1.0,,,,,,,,,,,0.8631235942424803 gram / milliliter,0.000396060163648117 gram / milliliter
78,298.15 kelvin,101.325 kilopascal,6,1,CC(=CCOC(=O)C)C,1.0,,,,,,,57345.130707796205 kilogram * meter ** 2 / mole / second ** 2,290.98019053258184 kilogram * meter ** 2 / mole / second ** 2,,,,
79,303.15 kelvin,101.325 kilopascal,2,1,CC(=O)N(C)C,1.0,,,24.4922299960111 dimensionless,1.440101104815213 dimensionless,,,,,,,0.9361436890535964 gram / milliliter,0.00013532049905210408 gram / milliliter
80,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)OCCc1ccccc1,1.0,,,,,,,76147.56574532276 kilogram * meter ** 2 / mole / second ** 2,226.99175570358108 kilogram * meter ** 2 / mole / second ** 2,,,,
81,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7696000000000001,CC(=O)OC,0.2304,,,,,,,291.80840329122293 kilogram * meter ** 2 / mole / second ** 2,17.920888827899258 kilogram * meter ** 2 / mole / second ** 2,,
82,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7519,CC(=O)OC,0.2481,,,4.118481794824797e-07 meter ** 3 / mole,1.7330636133073457e-08 meter ** 3 / mole,,,,,,
83,303.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.25680000000000003,CC(=O)OC,0.7432,,,3.9659674973307113e-07 meter ** 3 / mole,1.687905659356321e-08 meter ** 3 / mole,,,,,,
84,318.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.2372,CC(=O)OC,0.7628,,,,,,,372.9005861965452 kilogram * meter ** 2 / mole / second ** 2,16.97854128949391 kilogram * meter ** 2 / mole / second ** 2,,
85,298.15 kelvin,101.325 kilopascal,2,1,CC(=O)OC,1.0,,,,,,,,,,,0.9608752203465973 gram / milliliter,0.0003392842177855481 gram / milliliter
86,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1cccc(c1)OC,1.0,,,,,,,76764.48550538084 kilogram * meter ** 2 / mole / second ** 2,236.2796130649837 kilogram * meter ** 2 / mole / second ** 2,,,,
87,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccccc1OC,1.0,,,,,,,72943.52744888596 kilogram * meter ** 2 / mole / second ** 2,323.79017648827283 kilogram * meter ** 2 / mole / second ** 2,,,,
88,298.15 kelvin,101.325 kilopascal,6,1,CC(=O)c1ccco1,1.0,,,,,,,52737.65253094008 kilogram * meter ** 2 / mole / second ** 2,251.19013499679818 kilogram * meter ** 2 / mole / second ** 2,,,,
89,298.15 kelvin,101.0 kilopascal,2,1,CC(=O)c1cccs1,1.0,,,6.822092492376778 dimensionless,1.3902452621234982 dimensionless,,,,,,,1.1454157858942333 gram / milliliter,0.0003146935555220452 gram / milliliter
90,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.27780000000000005,COC=O,0.7222,,,4.451596020871345e-07 meter ** 3 / mole,1.6574378107494898e-08 meter ** 3 / mole,,,1093.8240961134252 kilogram * meter ** 2 / mole / second ** 2,17.83008697063229 kilogram * meter ** 2 / mole / second ** 2,,
91,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7127,COC=O,0.2873,,,,,,,1185.5575534386517 kilogram * meter ** 2 / mole / second ** 2,17.851676717498968 kilogram * meter ** 2 / mole / second ** 2,,
92,299.15 kelvin,101.32 kilopascal,2,2,CC(C)(C)O,0.7581,COC=O,0.2419,,,4.4254771838618274e-07 meter ** 3 / mole,1.5869409671694417e-08 meter ** 3 / mole,,,,,,
93,298.15 kelvin,100.0 kilopascal,2,1,CC(C)(C)O,1.0,,,1.5409075335240208 dimensionless,0.1972789068169957 dimensionless,,,,,,,0.816538378776048 gram / milliliter,0.000310886079342609 gram / milliliter
94,303.15 kelvin,101.325 kilopascal,2,1,CC(C)(CO)N,1.0,,,8.838842976957089 dimensionless,1.4487074520462082 dimensionless,,,,,,,0.9656382585603512 gram / milliliter,0.0004352084326630596 gram / milliliter
95,298.15 kelvin,101.0 kilopascal,2,1,CC(C)CO,1.0,,,4.159088693873466 dimensionless,0.4848496255125598 dimensionless,,,,,,,0.8141069076752047 gram / milliliter,0.0002472337287491216 gram / milliliter
96,300.15 kelvin,101.325 kilopascal,2,1,CC(C)O,1.0,,,10.211386816764978 dimensionless,0.9709161900508948 dimensionless,,,,,,,0.7995650326243784 gram / milliliter,0.00017810530558044454 gram / milliliter
97,289.15 kelvin,101.325 kilopascal,2,1,CC=O,1.0,,,,,,,,,,,0.7907994418941237 gram / milliliter,0.00036713620636113614 gram / milliliter
98,298.15 kelvin,101.325 kilopascal,2,1,CCC#N,1.0,,,,,,,,,,,0.7762025418018987 gram / milliliter,0.0003128723297807311 gram / milliliter
99,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7615000000000001,CCC(=O)C,0.2385,,,,,,,301.7148977188699 kilogram * meter ** 2 / mole / second ** 2,15.520794308712137 kilogram * meter ** 2 / mole / second ** 2,,
100,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.7340000000000001,CCC(=O)C,0.266,,,-2.7621703599081855e-07 meter ** 3 / mole,1.6930217671609945e-08 meter ** 3 / mole,,,,,,
101,298.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.22030000000000005,CCC(=O)C,0.7797,,,,,,,263.9646504364314 kilogram * meter ** 2 / mole / second ** 2,16.41186893285876 kilogram * meter ** 2 / mole / second ** 2,,
102,303.15 kelvin,101.0 kilopascal,2,2,CS(=O)C,0.212,CCC(=O)C,0.7879999999999999,,,-2.1435227031358164e-07 meter ** 3 / mole,1.6010455405213096e-08 meter ** 3 / mole,,,,,,
103,298.15 kelvin,101.325 kilopascal,2,1,CCC(=O)C,1.0,,,,,,,,,,,0.7818505669020851 gram / milliliter,0.0003070400112778522 gram / milliliter
104,298.15 kelvin,101.3 kilopascal,2,2,O,0.997803,CCCC(=O)OC,0.002197,,,,,,,-35.28822580258566 kilogram * meter ** 2 / mole / second ** 2,15.964916312316475 kilogram * meter ** 2 / mole / second ** 2,,
105,298.15 kelvin,101.325 kilopascal,2,1,CCCC(=O)OC,1.0,,,,,,,,,,,0.9139895338652055 gram / milliliter,0.00024440887658128574 gram / milliliter
106,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCCO,1.0,,,1.4137140228958958 dimensionless,0.05538035355749164 dimensionless,,,,,,,0.8237933066542195 gram / milliliter,0.0002521581310747304 gram / milliliter
107,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.772,CCCCCCCl,0.228,,,5.015942026259738e-07 meter ** 3 / mole,1.8025503060211158e-08 meter ** 3 / mole,,,,,,
108,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.7352,CCCCCCCl,0.26480000000000004,,,,,,,288.5414553001756 kilogram * meter ** 2 / mole / second ** 2,18.890376014015295 kilogram * meter ** 2 / mole / second ** 2,,
109,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2877,CCCCCCCl,0.7122999999999999,,,3.5039137287319155e-07 meter ** 3 / mole,1.697554780303715e-08 meter ** 3 / mole,,,,,,
110,298.15 kelvin,101.0 kilopascal,2,2,c1ccccc1,0.2862,CCCCCCCl,0.7138,,,,,,,202.77303693414433 kilogram * meter ** 2 / mole / second ** 2,18.27789056664403 kilogram * meter ** 2 / mole / second ** 2,,
111,298.15 kelvin,101.325 kilopascal,2,1,CCCCCCCl,1.0,,,,,,,,,,,0.8632668027351061 gram / milliliter,0.0002683084289808657 gram / milliliter
112,298.15 kelvin,100.0 kilopascal,2,1,CCCCCCO,1.0,,,1.8132652354794088 dimensionless,0.2411060416711358 dimensionless,,,,,,,0.8195204514410008 gram / milliliter,0.00023141716371913147 gram / milliliter
113,298.15 kelvin,101.325 kilopascal,2,1,CCCCCO,1.0,,,7.746037390991251 dimensionless,1.1950130033239112 dimensionless,,,,,,,0.8125616951400665 gram / milliliter,0.00017955845748204237 gram / milliliter
114,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC(=O)C,1.0,,,,,,,,,,,0.8979506161314162 gram / milliliter,0.0002527031159219868 gram / milliliter
115,298.15 kelvin,101.325 kilopascal,2,1,CCCCOC=O,1.0,,,,,,,,,,,0.9262723331878399 gram / milliliter,0.00026590716551396567 gram / milliliter
116,298.15 kelvin,101.0 kilopascal,2,1,CCCCO,1.0,,,2.0852076217146114 dimensionless,0.21010026337525026 dimensionless,,,,,,,0.807037066290589 gram / milliliter,0.00025512732143472916 gram / milliliter
117,318.15 kelvin,101.3 kilopascal,2,2,O,0.997504,CCCOC(=O)C,0.002496,,,,,,,-5.231756938526814 kilogram * meter ** 2 / mole / second ** 2,15.402183096006759 kilogram * meter ** 2 / mole / second ** 2,,
118,298.15 kelvin,101.325 kilopascal,2,1,CCCOC(=O)C,1.0,,,,,,,,,,,0.9077382212724813 gram / milliliter,0.00028474273265655624 gram / milliliter
119,298.15 kelvin,101.0 kilopascal,2,1,CCCOCCO,1.0,,,6.794277905007855 dimensionless,0.9314103192417301 dimensionless,,,,,,,0.9271642630630988 gram / milliliter,0.0002262096422863246 gram / milliliter
120,300.15 kelvin,101.325 kilopascal,2,1,CCCO,1.0,,,8.159630595476468 dimensionless,1.0063009188064411 dimensionless,,,,,,,0.7977648825676116 gram / milliliter,0.00024051997378748727 gram / milliliter
121,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)CN=[N+]=[N-],1.0,,,,,,,66968.03277103594 kilogram * meter ** 2 / mole / second ** 2,265.52357825413037 kilogram * meter ** 2 / mole / second ** 2,,,,
122,298.15 kelvin,101.325 kilopascal,6,1,CCOC(=O)c1cccs1,1.0,,,,,,,68037.80209360839 kilogram * meter ** 2 / mole / second ** 2,303.5983188202124 kilogram * meter ** 2 / mole / second ** 2,,,,
