,Temperature,Pressure,Phase,Number Of Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,DielectricConstant Value,DielectricConstant Uncertainty,ExcessMolarVolume Value,ExcessMolarVolume Uncertainty,EnthalpyOfVaporization Value,EnthalpyOfVaporization Uncertainty,EnthalpyOfMixing Value,EnthalpyOfMixing Uncertainty,Density Value,Density Uncertainty
0,293.15 kelvin,101.0 kilopascal,2,1,C(C(Br)Br)(Br)Br,1.0,,,,,,,,,,,2.37642290182117 gram / milliliter,0.00038745150422104824 gram / milliliter
1,298.15 kelvin,101.325 kilopascal,2,1,C(C(C(C(C(F)(F)Br)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,1.0,,,,,,,,,,,1.8841340350031703 gram / milliliter,0.0004467804445689011 gram / milliliter
2,298.15 kelvin,101.0 kilopascal,2,2,C(C(F)(F)F)(C(F)(F)F)O,0.8065,O,0.1935,,,-1.2249923232187407e-07 meter ** 3 / mole,1.557725209806917e-08 meter ** 3 / mole,,,,,,
3,293.2195 kelvin,100.049 kilopascal,2,1,C(C(F)(F)F)F,1.0,,,,,,,,,,,1.1793832180130777 gram / milliliter,0.0004166905988749904 gram / milliliter
4,298.15 kelvin,101.325 kilopascal,2,1,C(CBr)Cl,1.0,,,,,,,,,,,1.5506298980668873 gram / milliliter,0.000372164463276184 gram / milliliter
5,298.15 kelvin,101.325 kilopascal,2,1,C(CCBr)CCl,1.0,,,,,,,,,,,1.3727598164087549 gram / milliliter,0.00043564452606205357 gram / milliliter
6,298.15 kelvin,101.0 kilopascal,2,2,C(CCO)CO,0.7947,O,0.20530000000000004,,,,,,,-114.50419395838253 kilogram * meter ** 2 / mole / second ** 2,16.551686854874024 kilogram * meter ** 2 / mole / second ** 2,,
7,298.15 kelvin,101.0 kilopascal,2,2,C(CO)CO,0.743,O,0.257,,,,,,,-18.80564737120585 kilogram * meter ** 2 / mole / second ** 2,16.416693702933507 kilogram * meter ** 2 / mole / second ** 2,,
8,298.15 kelvin,101.0 kilopascal,2,2,C(COCCO)O,0.7906,O,0.2094,,,,,,,131.24027599787223 kilogram * meter ** 2 / mole / second ** 2,16.273890135276556 kilogram * meter ** 2 / mole / second ** 2,,
9,298.15 kelvin,101.325 kilopascal,6,1,C/C=C/C=C/COC(=O)C,1.0,,,,,,,64716.46144514983 kilogram * meter ** 2 / mole / second ** 2,316.0052806405404 kilogram * meter ** 2 / mole / second ** 2,,,,
